Enfoque,Landmark,N,ROC-AUC,Precision (Deserción),Recall (Deserción),F1 (Deserción),PR-AUC
Opción A (modelo por landmark),1,3164,0.9589714198379947,0.8434727503168568,0.9154057771664375,0.8779683377308707,0.95130684217671
Opción B (modelo único),1,3164,0.9589511088588045,0.8483290488431876,0.9078404401650619,0.8770764119601329,
Opción A (modelo por landmark),2,3164,0.968343830690895,0.8643737832576249,0.9160935350756534,0.889482470784641,0.9642364574905943
Opción B (modelo único),2,3164,0.9684105954937781,0.8667100130039012,0.9167812929848693,0.891042780748663,
Opción A (modelo por landmark),3,3164,0.9724124616906779,0.8885135135135135,0.9044016506189821,0.896387184730743,0.9691526502527256
Opción B (modelo único),3,3164,0.9725009451643781,0.8757396449704142,0.9160935350756534,0.8954621848739496,
